Player,NBA.Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,TeamID
Elliot Williams,Portland Trail Blazers,Memphis,2010,1,22,22,1272
Joey Dorsey,Portland Trail Blazers,Memphis,2008,2,3,33,1272
Robert Dozier,Miami Heat,Memphis,2009,2,30,60,1272
Rodney Carney,Chicago Bulls,Memphis,2006,1,16,16,1272
Shawne Williams,Indiana Pacers,Memphis,2006,1,17,17,1272
Tyreke Evans,Sacramento Kings,Memphis,2009,1,4,4,1272
Will Barton,Portland Trail Blazers,Memphis,2012,2,10,40,1272
Dwayne Collins,Phoenix Suns,Miami (FL),2010,2,30,60,1274
Guillermo Diaz,Los Angeles Clippers,Miami (FL),2006,2,22,52,1274
Jack McClinton,San Antonio Spurs,Miami (FL),2009,2,21,51,1274
James Jones,Indiana Pacers,Miami (FL),2003,2,20,49,1274
John Salmons,San Antonio Spurs,Miami (FL),2002,1,26,26,1274
Sergei Lishouk,Memphis Grizzlies,Miami (FL),2004,2,20,49,1274
Shane Larkin,Atlanta Hawks,Miami (FL),2013,1,18,18,1274
Bernard Robinson,Charlotte Bobcats,Michigan,2004,2,16,45,1276
Caris LeVert,Indiana Pacers,Michigan,2016,1,20,20,1276
Darius Morris,Los Angeles Lakers,Michigan,2011,2,11,41,1276
Glen Rice,Philadelphia 76ers,Michigan,2013,2,5,35,1276
Glenn Robinson,Minnesota Timberwolves,Michigan,2014,2,10,40,1276
Mitch McGary,Oklahoma City Thunder,Michigan,2014,1,21,21,1276
Nik Stauskas,Sacramento Kings,Michigan,2014,1,8,8,1276
Tim Hardaway Jr.,New York Knicks,Michigan,2013,1,24,24,1276
Trey Burke,Minnesota Timberwolves,Michigan,2013,1,9,9,1276
Adreian Payne,Atlanta Hawks,Michigan State,2014,1,15,15,1277
Branden Dawson,New Orleans Pelicans,Michigan State,2015,2,26,56,1277
Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14,14,1277
Deyonta Davis,Boston Celtics,Michigan State,2016,2,1,31,1277
Draymond Green,Golden State Warriors,Michigan State,2012,2,5,35,1277
Gary Harris,Chicago Bulls,Michigan State,2014,1,19,19,1277
Goran Suton,Utah Jazz,Michigan State,2009,2,20,50,1277
Marcus Taylor,Minnesota Timberwolves,Michigan State,2002,2,23,51,1277
Maurice Ager,Dallas Mavericks,Michigan State,2006,1,28,28,1277
Paul Davis,Los Angeles Clippers,Michigan State,2006,2,4,34,1277
Shannon Brown,Cleveland Cavaliers,Michigan State,2006,1,25,25,1277
Kris Humphries,Utah Jazz,Minnesota,2004,1,14,14,1278
Rick Rickert,Minnesota Timberwolves,Minnesota,2003,2,26,55,1278
Justin Reed,Boston Celtics,Mississippi,2004,2,11,40,1279
Lawrence Roberts,Seattle SuperSonics,Mississippi,2005,2,25,55,1279
Terrico White,Detroit Pistons,Mississippi,2010,2,6,36,1279
Arnett Moultrie,Miami Heat,Mississippi State,2012,1,27,27,1280
Derrick Zimmerman,Golden State Warriors,Mississippi State,2003,2,11,40,1280
Jarvis Varnado,Miami Heat,Mississippi State,2010,2,11,41,1280
Mario Austin,Chicago Bulls,Mississippi State,2003,2,7,36,1280
Alex Oriakhi,Phoenix Suns,Missouri,2013,2,27,57,1281
DeMarre Carroll,Memphis Grizzlies,Missouri,2009,1,27,27,1281
Jordan Clarkson,Washington Wizards,Missouri,2014,2,16,46,1281
Kareem Rush,Toronto Raptors,Missouri,2002,1,20,20,1281
Kim English,Detroit Pistons,Missouri,2012,2,14,44,1281
Linas Kleiza,Portland Trail Blazers,Missouri,2005,1,27,27,1281
Marcus Denmon,San Antonio Spurs,Missouri,2012,2,29,59,1281
Rickey Paulding,Detroit Pistons,Missouri,2004,2,25,54,1281
Kenneth Faried,Denver Nuggets,Morehead State,2011,1,22,22,1287
Ricky Minard,Sacramento Kings,Morehead State,2004,2,19,48,1287
Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14,14,1293
Isaiah Canaan,Houston Rockets,Murray State,2013,2,4,34,1293
David Young,Seattle SuperSonics,North Carolina Central,2004,2,12,41,1300
Cedric Simmons,New Orleans/Oklahoma City Hornets,North Carolina State,2006,1,15,15,1301
JJ Hickson,Cleveland Cavaliers,North Carolina State,2008,1,19,19,1301
Julius Hodge,Denver Nuggets,North Carolina State,2005,1,20,20,1301
Lorenzo Brown,Minnesota Timberwolves,North Carolina State,2013,2,22,52,1301
TJ Warren,Phoenix Suns,North Carolina State,2014,1,14,14,1301
Armon Johnson,Portland Trail Blazers,Nevada-Reno,2010,2,4,34,1305
JaVale McGee,Washington Wizards,Nevada-Reno,2008,1,18,18,1305
